place,date,penol,bacteria,pb,cr6,as,hg,cu,hcb,benzen,p,por
가평천3,2022-01-03,,,,,,,,,,,
강상,2022-01-03,,,,,,,,,,,
강천,2022-01-03,정량한계미만,28,,,,,,,,,
경안천10,2022-01-03,,,,,,,,,,,
경안천6,2022-01-03,,,,,,,,,,,
곡수천2,2022-01-03,,,,,,,,,,,
공릉천5,2022-01-03,,,,,,,,,,,
공지천1,2022-01-03,정량한계미만,820,,,,,,,,,
공지천2,2022-01-03,,,,,,,,,,,
공지천3,2022-01-03,,,,,,,,,,,
관리천,2022-01-03,,,,,,,,,,,
광산,2022-01-03,0,790,,,,,,,,,
구운천2,2022-01-03,,,,,,,,,,,
구의,2022-01-03,,,,,,,,,,,
굴포천4,2022-01-03,,,,,,,,,,,
금강,2022-01-03,정량한계미만,150,,,,,,,,,
금당천2,2022-01-03,,,,,,,,,,,
금호강8,2022-01-03,정량한계미만,14000,,,,,,,,,
나주,2022-01-03,0,440,,,,,,,,,
낙단,2022-01-03,,,,,,,,,,,
남강7,2022-01-03,정량한계미만,240,,,,,,,,,
내린천2,2022-01-03,,,,,,,,,,,
내성천5,2022-01-03,정량한계미만,3000,,,,,,,,,
노량진,2022-01-03,정량한계미만,780,,,,,,,,,
논공,2022-01-03,정량한계미만,880,,,,,,,,,
다사,2022-01-03,정량한계미만,230,,,,,,,,,
단성,2022-01-03,,,,,,,,,,,
달천6,2022-01-03,,,,,,,,,,,
달천7,2022-01-03,,,,,,,,,,,
달천8,2022-01-03,,,,,,,,,,,
대교천1,2022-01-03,정량한계미만,1600,,,,,,,,,
대신,2022-01-03,정량한계미만,52,,,,,,,,,
대청댐,2022-01-03,정량한계미만,22,,,,,,,,,
덕곡,2022-01-03,정량한계미만,3100,,,,,,,,,
덕은리,2022-01-03,정량한계미만,420,,,,,,,,,
도남,2022-01-03,,,,,,,,,,,
도산,2022-01-03,정량한계미만,1900,,,,,,,,,
목행대교,2022-01-03,정량한계미만,550,,,,,,,,,
무안2,2022-01-03,0,33,,,,,,,,,
무한천2,2022-01-03,정량한계미만,350,,,,,,,,,
묵현천,2022-01-03,,,,,,,,,,,
문산천4,2022-01-03,,,,,,,,,,,
물금,2022-01-03,정량한계미만,680,,,,,,,,,
반변천4,2022-01-03,정량한계미만,7300,,,,,,,,,
반월천,2022-01-03,,,,,,,,,,,
백천내,2022-01-03,0,3,,,,,,,,,
벽계천2,2022-01-03,,,,,,,,,,,
복하천6,2022-01-03,,,,,,,,,,,
부여,2022-01-03,,,,,,,,,,,
삼봉리,2022-01-03,,,,,,,,,,,
삼용천,2022-01-03,정량한계미만,31000,,,,,,,,,
상주1,2022-01-03,,,,,,,,,,,
상주3,2022-01-03,정량한계미만,660,,,,,,,,,
선산,2022-01-03,,,,,,,,,,,
