place,date,penol,bacteria,cd,cn,pb,cr6,as,hg,cr,ni,benzen
내린천1,2023-01-01,,,,,,,,,,,
방내천,2023-01-01,,,,,,,,,,,
벽계천1,2023-01-01,,,,,,,,,,,
봉산천,2023-01-01,,,,,,,,,,,
송천2,2023-01-01,,,,,,,,,,,
수동천,2023-01-01,,,,,,,,,,,
오대천2,2023-01-01,,,,,,,,,,,
옥동천1,2023-01-01,,,,,,,,,,,
주천강2,2023-01-01,,,,,,,,,,,
가평천3,2023-01-02,,,,,,,,,,,
강상,2023-01-02,,,,,,,,,,,
강천,2023-01-02,,,,,,,,,,,
경안천10,2023-01-02,,,,,,,,,,,
경안천6,2023-01-02,,,,,,,,,,,
곡수천2,2023-01-02,,,,,,,,,,,
공릉천5,2023-01-02,,,,,,,,,,,
공주1,2023-01-02,정량한계미만,220,,,,,,,,,
관리천,2023-01-02,,,,,,,,,,,
구운천2,2023-01-02,,,,,,,,,,,
구의,2023-01-02,,,,,,,,,,,
굴포천4,2023-01-02,,,,,,,,,,,
금강,2023-01-02,정량한계미만,350,,,,,,,,,
금당천2,2023-01-02,,,,,,,,,,,
금호강8,2023-01-02,정량한계미만,25000,,,,,,,,,
낙단,2023-01-02,,,,,,,,,,,
남강7,2023-01-02,정량한계미만,290,,,,,,,,,
내린천2,2023-01-02,,,,,,,,,,,
내성천5,2023-01-02,정량한계미만,720,,,,,,,,,
노량진,2023-01-02,정량한계미만,760,,,,,,,,,
논공,2023-01-02,정량한계미만,330,,,,,,,,,
다사,2023-01-02,정량한계미만,220,,,,,,,,,
단성,2023-01-02,,,,,,,,,,,
달천6,2023-01-02,,,,,,,,,,,
달천7,2023-01-02,정량한계미만,20,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
달천8,2023-01-02,,,,,,,,,,,
대성리,2023-01-02,정량한계미만,18,,,,,,,,,
대신,2023-01-02,,,,,,,,,,,
대청댐,2023-01-02,정량한계미만,6,,,,,,,,,
덕곡,2023-01-02,정량한계미만,690,,,,,,,,,
덕은리,2023-01-02,정량한계미만,116,,,,,,,,,
도남,2023-01-02,,,,,,,,,,,
도산,2023-01-02,정량한계미만,490,,,,,,,,,
목행대교,2023-01-02,정량한계미만,108,,,,,,,,,
무주남대천2,2023-01-02,정량한계미만,12000,,,,,,,,,
묵현천,2023-01-02,,,,,,,,,,,
문산천4,2023-01-02,,,,,,,,,,,
물금,2023-01-02,정량한계미만,610,,,,,,,,,
반변천4,2023-01-02,정량한계미만,810,,,,,,,,,
벽계천2,2023-01-02,,,,,,,,,,,
복하천6,2023-01-02,,,,,,,,,,,
부여,2023-01-02,,,,,,,,,,,
삼봉리,2023-01-02,,,,,,,,,,,
상주3,2023-01-02,정량한계미만,550,,,,,,,,,
선산,2023-01-02,,,,,,,,,,,
섬강3,2023-01-02,,,,,,,,,,,
섬강6,2023-01-02,정량한계미만,45,,,,,,,,,
성은천,2023-01-02,,,,,,,,,,,
소양강2,2023-01-02,정량한계미만,18,,,,,,,,,
신천5,2023-01-02,,,,,,,,,,,
안동1,2023-01-02,정량한계미만,95,,,,,,,,,
안동2,2023-01-02,,,,,,,,,,,
안동3,2023-01-02,정량한계미만,270,,,,,,,,,
