year,month,tem,DO,TN,TP,DTN,DTP,Chl-a
2019,1,3.3,14.8,3.504,0.028,3.423,0.014,17.3
2019,2,4.3,13.6,3.317,0.026,3.155,0.008,24.4
2019,3,8.8,12.6,3.506,0.024,3.342,0.008,22.9
2019,4,13.2,11,2.652,0.017,2.529,0.006,14.1
2019,5,19.5,9.1,1.886,0.024,1.78,0.013,14.5
2019,6,23.3,7.6,1.691,0.024,1.624,0.018,11
2019,7,25.3,6.2,1.661,0.043,1.577,0.033,9.2
2019,8,28.3,6.5,1.672,0.03,1.543,0.021,25.1
2019,9,23.4,8.4,1.759,0.057,1.658,0.047,15.7
2019,10,19,10.1,2.829,0.079,2.676,0.061,21.5
2019,11,14,11.6,2.453,0.025,2.364,0.015,20.2
2019,12,7.5,13.8,2.442,0.028,2.337,0.014,44.6
2020,1,4.1,14.1,3.143,0.025,3.008,0.017,19.6
2020,2,5.6,14.1,3.539,0.032,3.365,0.02,28.5
2020,3,9,13.3,2.963,0.029,2.869,0.015,28.4
2020,4,13.5,11.3,2.931,0.028,2.886,0.02,20.3
2020,5,18.5,8.6,2.274,0.025,2.21,0.019,11
2020,6,24.1,6.3,1.884,0.043,1.824,0.039,7.9
2020,7,22,8.1,2.456,0.073,2.365,0.061,25.6
2020,8,26.1,8.5,2.119,0.056,2.012,0.048,13.5
2020,9,21.6,8,2.215,0.083,2.15,0.061,5.7
2020,10,18.8,8.7,2.568,0.045,2.471,0.034,17.6
2020,11,12.6,10.8,2.544,0.031,2.495,0.022,22.3
2020,12,5.2,13.5,2.724,0.02,2.583,0.01,51.4
2021,2,4.1,14.6,3.58,0.03,3.506,0.016,33
2021,3,8.9,12.7,2.946,0.035,2.772,0.021,23.6
2021,4,13.9,10.1,3.168,0.044,3.1,0.029,28.1
2021,5,18.1,8.7,2.573,0.033,2.395,0.022,20.7
2021,6,23.1,8.4,1.839,0.028,1.806,0.017,30.1
2021,7,25.6,8.1,1.98,0.053,1.904,0.04,13.4
2021,8,27,6.8,1.835,0.064,1.708,0.05,9.4
2021,9,22.8,8.3,2.361,0.069,2.261,0.055,11.3
2021,10,20.6,8.7,1.952,0.037,1.816,0.025,25.9
2021,11,13.5,10.9,2.248,0.023,2.134,0.014,14.6
2021,12,6.3,12.5,2.531,0.029,2.424,0.013,24.1
2022,2,3.6,13.7,3.04,0.028,2.9,0.018,17.6
2022,3,7.8,12.4,2.539,0.031,2.394,0.017,20.8
2022,4,14.9,10.8,2.413,0.028,2.306,0.019,18.2
2022,5,20.8,8.5,1.857,0.029,1.799,0.022,5.2
2022,6,24,7.6,1.383,0.023,1.307,0.017,10.1
2022,7,27.6,6,1.165,0.038,1.067,0.03,11.5
2022,8,26.8,5.4,1.979,0.045,1.896,0.038,14.6
2022,9,23.1,8.1,2.77,0.052,2.665,0.041,12.7
2022,10,19.2,8.9,2.089,0.032,2.022,0.018,15.9
2022,11,13.4,10,1.996,0.031,1.902,0.017,19.3
2022,12,6.4,11.8,2.306,0.027,2.202,0.014,15.3
2023,1,3.7,14.1,2.876,0.025,2.779,0.013,18.5
2023,2,4.5,14.3,2.762,0.031,2.687,0.022,13.1
2023,3,10,12.1,2.758,0.024,2.673,0.016,15.6
2023,4,15.1,9.7,2.223,0.034,2.171,0.025,6.7
2023,5,19.2,8.9,1.984,0.026,1.917,0.021,10.3
2023,6,24.5,6.9,2.159,0.032,2.08,0.028,5.4
2023,7,23.7,8.1,2.615,0.13,2.487,0.092,5.1
